EmployeeID,FullName,Age,Gender,Department,JobRole,EducationField,MonthlyIncome,DistanceFromHome,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,OverTime,BusinessTravel,Attrition
EMP-0022,Employee 22,35,Female,Sales,Sales Executive,Life Sciences,2802.35,1,7,0,0,0,0,0,2,3,3,3,3,No,Travel_Rarely,0
EMP-0023,Employee 23,50,Male,Sales,Sales Representative,Technical Degree,6995.38,10,0,11,11,4,0,3,1,2,3,3,3,Yes,Travel_Rarely,0
EMP-0024,Employee 24,49,Male,Research & Development,Healthcare Representative,Other,6785.31,1,4,17,8,3,3,3,1,1,3,2,3,Yes,Travel_Rarely,0
EMP-0025,Employee 25,55,Male,Research & Development,Manufacturing Director,Human Resources,13264.73,1,1,8,4,1,1,0,1,4,4,2,3,No,Travel_Rarely,0
EMP-0026,Employee 26,37,Female,Research & Development,Manager,Other,8811.25,5,2,0,0,0,0,0,2,2,1,3,3,No,Travel_Rarely,1
EMP-0027,Employee 27,52,Female,Research & Development,Healthcare Representative,Other,6536.22,30,2,17,14,5,0,3,1,1,2,2,3,No,Travel_Rarely,1
EMP-0028,Employee 28,45,Male,Sales,Manager,Marketing,8773.58,9,1,0,0,0,0,0,3,2,3,2,3,No,Travel_Rarely,0
EMP-0029,Employee 29,22,Male,Research & Development,Manager,Human Resources,10526.62,1,3,4,4,4,3,0,1,3,3,3,3,Yes,Non-Travel,0
EMP-0030,Employee 30,27,Female,Research & Development,Research Director,Marketing,11238.12,1,1,9,6,6,2,5,3,2,4,3,3,No,Travel_Rarely,0
EMP-0031,Employee 31,30,Male,Sales,Manager,Life Sciences,8665.19,3,2,0,0,0,0,0,3,3,4,3,3,Yes,Travel_Rarely,0
EMP-0032,Employee 32,42,Male,Sales,Sales Representative,Technical Degree,9405.36,11,1,21,9,2,3,7,3,3,2,3,3,No,Travel_Rarely,0
EMP-0033,Employee 33,20,Male,Human Resources,Manager,Medical,11082.02,4,6,2,2,2,1,2,4,3,2,4,3,No,Travel_Frequently,1
EMP-0034,Employee 34,49,Female,Sales,Manager,Marketing,6845.14,12,3,0,0,0,0,0,3,1,2,3,3,No,Travel_Rarely,0
EMP-0035,Employee 35,46,Female,Research & Development,Research Director,Life Sciences,7717.46,20,0,0,0,0,0,0,1,3,3,2,3,Yes,Travel_Rarely,0
EMP-0036,Employee 36,43,Male,Research & Development,Laboratory Technician,Other,3727.76,1,2,2,2,2,1,2,3,1,2,2,3,Yes,Travel_Rarely,1
EMP-0037,Employee 37,37,Male,Sales,Manager,Medical,13363.15,16,1,10,10,5,1,0,3,4,4,3,3,Yes,Travel_Frequently,0
EMP-0038,Employee 38,43,Male,Research & Development,Healthcare Representative,Human Resources,9407.47,5,3,19,3,3,1,2,3,3,2,3,3,No,Travel_Rarely,0
EMP-0039,Employee 39,39,Female,Sales,Sales Executive,Medical,8006.03,8,2,15,0,0,0,0,4,3,3,3,3,No,Travel_Rarely,0
EMP-0040,Employee 40,45,Female,Research & Development,Healthcare Representative,Marketing,5653.64,1,5,6,0,0,0,0,1,3,3,3,3,Yes,Travel_Rarely,1
EMP-0041,Employee 41,38,Male,Sales,Sales Representative,Life Sciences,3980.65,7,2,8,8,2,3,6,4,3,3,4,3,No,Travel_Rarely,0
EMP-0042,Employee 42,34,Male,Human Resources,Human Resources,Medical,8019.58,8,3,16,7,5,1,7,1,4,3,3,3,Yes,Travel_Rarely,0
EMP-0043,Employee 43,50,Male,Research & Development,Research Director,Medical,12262.33,24,0,12,5,5,2,3,1,1,1,3,3,Yes,Non-Travel,1
EMP-0044,Employee 44,26,Male,Research & Development,Healthcare Representative,Human Resources,3136.63,1,1,0,0,0,0,0,4,4,2,3,4,No,Travel_Rarely,0
EMP-0045,Employee 45,44,Female,Sales,Manager,Technical Degree,13215.27,2,0,12,4,4,1,2,3,2,3,3,4,No,Travel_Rarely,0
EMP-0046,Employee 46,47,Male,Research & Development,Research Director,Life Sciences,16184.46,4,2,21,15,2,1,4,4,3,1,2,3,No,Travel_Rarely,1
EMP-0047,Employee 47,36,Male,Research & Development,Laboratory Technician,Marketing,8150.81,19,9,18,13,0,0,5,4,1,3,3,3,No,Non-Travel,0
EMP-0048,Employee 48,41,Female,Research & Development,Laboratory Technician,Human Resources,8863.25,7,2,12,7,0,3,5,3,4,2,4,3,No,Travel_Rarely,1
EMP-0049,Employee 49,46,Male,Research & Development,Research Scientist,Other,5115.52,10,0,3,3,3,2,2,4,3,3,2,3,No,Travel_Rarely,0
EMP-0050,Employee 50,36,Male,Research & Development,Manager,Technical Degree,8129.92,20,3,2,2,2,1,2,1,3,3,4,3,Yes,Travel_Rarely,0
EMP-0051,Employee 51,39,Female,Sales,Sales Representative,Medical,6024.98,5,2,9,9,7,2,6,1,3,2,3,3,Yes,Travel_Rarely,0
EMP-0052,Employee 52,30,Male,Research & Development,Laboratory Technician,Other,6747.6,13,2,12,10,6,3,3,3,4,1,3,3,No,Non-Travel,0
EMP-0053,Employee 53,45,Male,Sales,Manager,Human Resources,13514.53,15,3,14,14,5,2,6,3,4,1,2,3,No,Travel_Rarely,0
EMP-0054,Employee 54,45,Female,Research & Development,Manager,Technical Degree,14598.44,4,2,14,8,2,1,0,2,4,2,4,3,Yes,Travel_Rarely,0
EMP-0055,Employee 55,49,Female,Research & Development,Laboratory Technician,Life Sciences,6822.78,5,5,16,16,5,1,2,4,3,3,3,3,No,Travel_Rarely,0
EMP-0056,Employee 56,23,Male,Research & Development,Research Scientist,Other,4525.52,17,2,5,2,2,2,1,3,3,2,2,4,Yes,Travel_Rarely,1
EMP-0057,Employee 57,31,Female,Research & Development,Research Director,Technical Degree,9994.69,10,2,0,0,0,0,0,3,3,1,4,3,No,Travel_Frequently,0
EMP-0058,Employee 58,38,Male,Research & Development,Manufacturing Director,Other,12486.86,3,0,12,2,1,2,2,2,3,3,3,3,No,Travel_Rarely,0
EMP-0059,Employee 59,30,Male,Sales,Sales Executive,Other,6897.57,10,6,12,6,4,3,5,3,3,2,3,4,Yes,Travel_Rarely,1
EMP-0060,Employee 60,41,Female,Research & Development,Research Director,Life Sciences,11511.14,9,4,9,4,4,0,4,3,3,3,3,3,No,Travel_Rarely,0
EMP-0061,Employee 61,34,Male,Research & Development,Manager,Medical,12089.61,2,3,10,7,7,3,4,3,4,3,3,3,No,Travel_Rarely,0
EMP-0062,Employee 62,26,Female,Research & Development,Research Scientist,Technical Degree,4315.73,8,3,8,8,3,0,1,3,1,2,3,3,No,Travel_Rarely,0
EMP-0063,Employee 63,31,Male,Research & Development,Healthcare Representative,Technical Degree,7549.64,4,5,13,13,3,0,4,2,2,3,2,3,No,Travel_Frequently,0
EMP-0064,Employee 64,25,Female,Research & Development,Healthcare Representative,Medical,5403.54,9,1,7,0,0,0,0,2,3,3,3,4,No,Travel_Rarely,1
EMP-0065,Employee 65,29,Male,Sales,Sales Executive,Marketing,5768.32,2,0,11,8,2,0,5,3,1,3,2,3,No,Non-Travel,0
EMP-0066,Employee 66,27,Female,Research & Development,Research Director,Medical,11594.23,2,3,9,0,0,0,0,3,4,3,3,3,No,Non-Travel,0
EMP-0067,Employee 67,32,Male,Human Resources,Manager,Technical Degree,8167.97,4,4,1,1,0,1,1,3,4,2,4,4,No,Travel_Rarely,0
EMP-0068,Employee 68,26,Female,Research & Development,Healthcare Representative,Human Resources,6383.58,2,2,8,0,0,0,0,1,1,2,4,3,No,Travel_Rarely,0
EMP-0069,Employee 69,30,Male,Research & Development,Research Scientist,Other,5118.74,1,1,12,8,3,3,6,3,4,4,2,4,No,Travel_Rarely,1
EMP-0070,Employee 70,37,Male,Research & Development,Manufacturing Director,Marketing,10224.31,1,2,1,1,1,0,1,1,4,3,3,3,No,Travel_Rarely,0
EMP-0071,Employee 71,31,Female,Sales,Sales Representative,Human Resources,4373.49,1,4,7,6,6,0,0,1,3,2,1,3,Yes,Travel_Rarely,0
EMP-0072,Employee 72,18,Female,Human Resources,Manager,Life Sciences,7566.73,12,1,0,0,0,0,0,3,3,3,4,4,No,Travel_Rarely,0
EMP-0073,Employee 73,47,Male,Research & Development,Laboratory Technician,Medical,2358.71,12,2,3,3,2,3,3,1,1,3,2,3,No,Travel_Rarely,1
EMP-0074,Employee 74,37,Female,Sales,Sales Representative,Other,2832.51,20,1,3,0,0,0,0,4,3,1,2,3,No,Travel_Rarely,1
EMP-0075,Employee 75,36,Female,Research & Development,Healthcare Representative,Technical Degree,6920.96,4,2,15,1,1,1,1,1,2,4,3,3,No,Travel_Rarely,1
EMP-0076,Employee 76,38,Female,Sales,Sales Representative,Life Sciences,7284.14,3,0,13,0,0,0,0,3,4,2,3,3,No,Travel_Rarely,0
EMP-0077,Employee 77,26,Male,Research & Development,Research Director,Human Resources,12626.81,12,2,8,8,8,2,1,2,4,3,3,3,No,Travel_Rarely,0
EMP-0078,Employee 78,39,Female,Sales,Sales Executive,Life Sciences,6419.53,3,1,10,7,1,3,3,2,3,3,4,3,No,Travel_Frequently,0
EMP-0079,Employee 79,52,Male,Research & Development,Healthcare Representative,Technical Degree,3625.21,15,4,5,4,4,0,4,1,2,3,3,3,No,Non-Travel,0
EMP-0080,Employee 80,44,Male,Research & Development,Research Scientist,Life Sciences,7854.09,4,2,10,6,6,3,0,3,3,2,3,3,No,Travel_Rarely,1
EMP-0081,Employee 81,38,Male,Human Resources,Manager,Marketing,8705.69,6,3,0,0,0,0,0,4,1,3,2,3,No,Travel_Rarely,0
EMP-0082,Employee 82,33,Female,Research & Development,Healthcare Representative,Medical,2977.17,6,3,4,2,2,1,1,4,1,3,3,3,Yes,Non-Travel,0
EMP-0083,Employee 83,37,Female,Research & Development,Healthcare Representative,Other,6973.24,2,4,14,10,0,2,0,3,1,4,3,3,No,Travel_Rarely,0
EMP-0084,Employee 84,32,Male,Research & Development,Manager,Medical,8165.63,6,1,2,2,2,2,2,1,4,2,2,3,No,Travel_Rarely,0
EMP-0085,Employee 85,38,Male,Sales,Sales Representative,Technical Degree,9438.96,21,1,20,5,5,2,3,1,3,3,3,3,No,Travel_Rarely,0
EMP-0086,Employee 86,30,Male,Research & Development,Healthcare Representative,Technical Degree,5313.37,4,2,5,5,5,0,0,3,3,1,3,3,No,Travel_Rarely,0
EMP-0087,Employee 87,46,Female,Sales,Sales Executive,Technical Degree,3738.08,10,2,6,2,2,1,2,4,2,3,4,3,Yes,Non-Travel,1
EMP-0088,Employee 88,40,Female,Research & Development,Healthcare Representative,Technical Degree,3892.02,1,1,1,1,1,0,1,4,4,2,3,3,No,Travel_Rarely,0
EMP-0089,Employee 89,44,Female,Research & Development,Research Scientist,Technical Degree,7525.74,18,2,15,4,4,0,4,1,4,3,3,4,Yes,Travel_Rarely,1
EMP-0090,Employee 90,31,Female,Research & Development,Laboratory Technician,Marketing,4423.01,4,4,12,10,1,2,0,4,2,4,2,4,Yes,Travel_Rarely,0
EMP-0091,Employee 91,44,Male,Sales,Sales Representative,Other,3751.9,30,1,7,0,0,0,0,4,2,3,2,3,No,Travel_Rarely,0
EMP-0092,Employee 92,25,Female,Research & Development,Research Director,Marketing,11191.05,3,2,7,6,2,2,2,4,3,3,3,3,Yes,Travel_Rarely,0
EMP-0093,Employee 93,43,Female,Research & Development,Laboratory Technician,Marketing,4379.81,1,2,6,6,6,0,4,2,3,1,1,3,No,Travel_Rarely,1
EMP-0094,Employee 94,18,Male,Research & Development,Research Director,Human Resources,8305.67,3,1,0,0,0,0,0,3,4,4,2,3,No,Travel_Frequently,0
EMP-0095,Employee 95,20,Female,Sales,Sales Executive,Life Sciences,2000.0,1,1,0,0,0,0,0,1,1,3,4,3,No,Travel_Rarely,0
EMP-0096,Employee 96,30,Male,Research & Development,Laboratory Technician,Other,7061.5,6,1,12,8,6,2,2,3,2,3,3,3,Yes,Non-Travel,1
EMP-0097,Employee 97,19,Female,Sales,Sales Executive,Other,5040.83,12,3,1,1,1,1,1,1,2,1,3,3,Yes,Travel_Frequently,1
EMP-0098,Employee 98,24,Male,Research & Development,Research Director,Life Sciences,11113.32,4,0,4,4,4,1,0,3,2,2,4,3,No,Travel_Rarely,0
EMP-0099,Employee 99,36,Male,Research & Development,Manufacturing Director,Human Resources,8941.2,3,1,2,2,2,1,2,4,2,4,3,3,No,Travel_Rarely,0
EMP-0100,Employee 100,51,Male,Human Resources,Manager,Life Sciences,10731.3,1,4,0,0,0,0,0,2,4,3,3,3,Yes,Travel_Rarely,1
EMP-0101,Employee 101,55,Male,Research & Development,Research Scientist,Marketing,3869.86,7,1,4,4,4,4,4,4,4,3,4,3,Yes,Travel_Frequently,0
EMP-0102,Employee 102,31,Male,Sales,Sales Executive,Other,6271.38,8,3,11,10,4,1,0,4,4,3,3,3,No,Travel_Rarely,0
EMP-0103,Employee 103,36,Female,Research & Development,Research Director,Life Sciences,15685.46,23,1,18,0,0,0,0,3,3,3,3,3,Yes,Travel_Frequently,0
EMP-0104,Employee 104,44,Male,Sales,Manager,Marketing,12485.96,4,2,10,5,2,2,5,3,1,2,3,3,No,Travel_Rarely,0
EMP-0105,Employee 105,30,Female,Research & Development,Manager,Technical Degree,13850.3,7,3,12,9,1,0,5,2,3,3,2,3,Yes,Non-Travel,0
EMP-0106,Employee 106,39,Male,Sales,Sales Representative,Technical Degree,6033.75,22,1,13,13,0,1,0,1,4,3,3,3,No,Travel_Rarely,0
EMP-0107,Employee 107,43,Male,Sales,Sales Representative,Life Sciences,8634.81,1,6,17,9,3,1,4,4,4,3,2,3,Yes,Travel_Rarely,0
EMP-0108,Employee 108,41,Male,Research & Development,Manufacturing Director,Life Sciences,12080.0,9,3,13,7,3,0,3,4,1,3,3,3,No,Non-Travel,0
EMP-0109,Employee 109,40,Female,Sales,Manager,Human Resources,13863.47,15,2,15,6,2,2,2,1,3,2,4,3,No,Travel_Rarely,0
EMP-0110,Employee 110,34,Female,Research & Development,Manufacturing Director,Other,14647.12,30,4,16,10,3,1,4,4,4,2,2,3,Yes,Non-Travel,1
EMP-0111,Employee 111,37,Male,Research & Development,Manufacturing Director,Human Resources,15046.75,12,3,19,7,4,2,4,4,4,3,4,3,No,Non-Travel,0
EMP-0112,Employee 112,22,Male,Research & Development,Manufacturing Director,Medical,10146.5,3,4,4,4,4,3,0,3,4,3,2,3,No,Travel_Rarely,1
EMP-0113,Employee 113,29,Male,Human Resources,Human Resources,Medical,5786.3,1,3,11,7,0,0,4,1,4,4,3,4,No,Travel_Rarely,0
EMP-0114,Employee 114,36,Female,Research & Development,Manufacturing Director,Technical Degree,12507.05,29,5,11,8,2,0,1,4,1,3,3,3,No,Travel_Frequently,0
EMP-0115,Employee 115,28,Male,Sales,Sales Representative,Technical Degree,6469.57,1,1,10,10,3,3,0,3,3,2,2,3,No,Non-Travel,0
EMP-0116,Employee 116,43,Female,Research & Development,Research Director,Life Sciences,8333.83,16,5,5,5,0,1,5,4,1,3,2,3,No,Travel_Rarely,0
EMP-0117,Employee 117,19,Male,Sales,Sales Executive,Technical Degree,2000.0,8,4,1,1,1,1,1,2,2,4,3,3,Yes,Travel_Rarely,0
EMP-0118,Employee 118,27,Male,Sales,Sales Executive,Medical,5470.49,1,3,9,9,2,1,5,2,2,1,3,4,No,Travel_Rarely,1
EMP-0119,Employee 119,31,Female,Research & Development,Research Scientist,Human Resources,4605.37,7,1,4,4,4,0,1,3,4,1,2,3,Yes,Travel_Rarely,0
EMP-0120,Employee 120,30,Female,Research & Development,Research Scientist,Technical Degree,7660.14,1,2,12,9,4,0,6,4,1,2,4,3,Yes,Non-Travel,1
EMP-0121,Employee 121,42,Male,Research & Development,Research Scientist,Technical Degree,3150.85,14,4,3,3,3,0,3,1,3,3,3,3,No,Travel_Frequently,0
EMP-0122,Employee 122,39,Male,Research & Development,Manager,Human Resources,12139.06,3,1,12,8,7,4,6,4,3,2,2,3,No,Travel_Frequently,1
EMP-0123,Employee 123,25,Male,Human Resources,Human Resources,Life Sciences,4439.67,2,1,7,7,6,0,0,4,4,2,3,3,No,Travel_Frequently,0
EMP-0124,Employee 124,38,Female,Research & Development,Laboratory Technician,Life Sciences,4551.52,2,2,1,1,1,0,1,2,3,4,3,3,No,Travel_Rarely,1
EMP-0125,Employee 125,36,Male,Research & Development,Healthcare Representative,Marketing,7717.66,26,3,12,0,0,0,0,4,4,4,2,3,Yes,Travel_Rarely,0
EMP-0126,Employee 126,39,Female,Research & Development,Research Scientist,Human Resources,2165.92,1,3,0,0,0,0,0,4,4,3,2,3,No,Non-Travel,0
EMP-0127,Employee 127,37,Female,Research & Development,Laboratory Technician,Medical,5216.23,2,1,10,4,4,2,3,3,4,3,3,3,Yes,Non-Travel,0
EMP-0128,Employee 128,30,Female,Sales,Manager,Technical Degree,13237.29,4,1,11,10,5,0,6,3,2,3,4,3,No,Travel_Rarely,0
EMP-0129,Employee 129,56,Male,Sales,Sales Representative,Technical Degree,2585.39,5,3,5,1,1,1,1,2,4,1,3,4,Yes,Travel_Rarely,1
EMP-0130,Employee 130,51,Male,Sales,Sales Executive,Medical,5232.93,3,2,11,7,1,2,0,4,2,4,4,3,No,Travel_Frequently,1
EMP-0131,Employee 131,43,Female,Research & Development,Research Scientist,Other,5362.19,10,6,11,7,7,2,3,1,1,3,3,3,Yes,Travel_Rarely,1
EMP-0132,Employee 132,41,Male,Research & Development,Manufacturing Director,Medical,14290.27,3,1,18,16,3,1,1,4,3,3,4,3,No,Travel_Rarely,0
EMP-0133,Employee 133,30,Male,Research & Development,Research Scientist,Medical,7449.09,13,2,12,6,6,1,6,3,4,3,3,4,No,Travel_Rarely,0
EMP-0134,Employee 134,46,Female,Sales,Sales Representative,Technical Degree,8525.1,15,2,18,11,7,1,2,1,3,3,1,3,No,Travel_Rarely,0
EMP-0135,Employee 135,36,Male,Sales,Manager,Technical Degree,9849.19,11,3,6,6,4,3,0,2,2,1,3,4,No,Travel_Rarely,0
EMP-0136,Employee 136,36,Female,Sales,Sales Executive,Technical Degree,7000.11,2,3,5,5,0,5,5,3,2,3,2,3,No,Travel_Rarely,0
EMP-0137,Employee 137,50,Female,Research & Development,Manager,Medical,12242.57,7,2,8,3,0,0,3,3,3,4,3,3,No,Travel_Rarely,0
EMP-0138,Employee 138,44,Female,Sales,Sales Executive,Life Sciences,9996.66,13,0,20,7,0,1,7,4,4,3,3,3,No,Travel_Rarely,0
EMP-0139,Employee 139,21,Male,Sales,Manager,Human Resources,11446.74,1,2,3,3,3,1,3,4,4,3,4,4,No,Travel_Frequently,0
EMP-0140,Employee 140,30,Female,Research & Development,Manufacturing Director,Marketing,8463.12,3,0,0,0,0,0,0,4,4,2,2,3,Yes,Non-Travel,1
EMP-0141,Employee 141,35,Male,Research & Development,Healthcare Representative,Human Resources,9266.95,5,4,15,13,6,0,5,4,3,4,3,4,No,Travel_Rarely,0
EMP-0142,Employee 142,49,Male,Sales,Manager,Marketing,13217.63,1,2,11,0,0,0,0,3,4,2,1,3,No,Travel_Rarely,0
EMP-0143,Employee 143,44,Female,Human Resources,Human Resources,Technical Degree,6592.56,8,4,14,0,0,0,0,3,2,4,4,3,No,Travel_Frequently,0
EMP-0144,Employee 144,35,Male,Sales,Manager,Marketing,12565.37,30,0,13,7,7,1,3,4,1,3,2,3,No,Travel_Frequently,1
EMP-0145,Employee 145,21,Male,Research & Development,Research Director,Technical Degree,9168.48,3,2,3,3,3,3,2,2,4,2,3,4,No,Non-Travel,1
EMP-0146,Employee 146,31,Male,Research & Development,Manufacturing Director,Technical Degree,8423.91,1,0,3,3,3,1,0,4,3,3,2,3,No,Travel_Rarely,0
EMP-0147,Employee 147,42,Female,Sales,Sales Representative,Human Resources,2226.88,3,3,0,0,0,0,0,1,2,4,2,3,No,Travel_Rarely,0
EMP-0148,Employee 148,46,Male,Research & Development,Healthcare Representative,Technical Degree,2790.85,1,1,0,0,0,0,0,4,4,3,2,3,No,Travel_Rarely,0
EMP-0149,Employee 149,30,Male,Sales,Manager,Human Resources,12184.82,12,2,9,9,1,0,1,2,1,3,4,3,Yes,Travel_Rarely,1
EMP-0150,Employee 150,48,Male,Research & Development,Manufacturing Director,Human Resources,8000.27,1,5,0,0,0,0,0,3,3,4,3,3,Yes,Travel_Rarely,1
EMP-0151,Employee 151,37,Male,Sales,Sales Executive,Technical Degree,6171.24,4,2,7,6,2,0,4,4,2,3,3,4,No,Travel_Rarely,0
EMP-0152,Employee 152,32,Male,Research & Development,Manufacturing Director,Other,10646.82,9,0,9,4,0,0,0,2,2,3,3,3,No,Travel_Rarely,0
EMP-0153,Employee 153,34,Male,Sales,Sales Executive,Life Sciences,7769.15,30,1,15,2,0,0,2,2,1,2,3,3,No,Travel_Rarely,1
EMP-0154,Employee 154,39,Male,Sales,Manager,Medical,12353.35,11,4,12,10,1,0,2,4,2,2,2,3,No,Travel_Rarely,0
EMP-0155,Employee 155,38,Female,Sales,Sales Executive,Other,5944.44,3,2,15,1,1,1,1,1,3,2,4,3,Yes,Travel_Rarely,0
EMP-0156,Employee 156,49,Male,Research & Development,Healthcare Representative,Life Sciences,5009.47,2,1,9,5,3,2,3,3,3,4,2,4,No,Travel_Rarely,0
EMP-0157,Employee 157,40,Male,Research & Development,Manager,Life Sciences,16844.51,12,2,22,4,2,0,4,4,1,1,3,3,Yes,Travel_Frequently,0
EMP-0158,Employee 158,39,Male,Sales,Manager,Other,12196.97,10,1,8,5,5,2,1,3,4,2,2,3,Yes,Travel_Rarely,0
EMP-0159,Employee 159,41,Female,Research & Development,Healthcare Representative,Marketing,5013.17,20,1,9,9,8,3,0,4,3,3,2,3,No,Travel_Rarely,0
EMP-0160,Employee 160,20,Male,Research & Development,Manager,Technical Degree,7623.65,8,6,2,2,2,2,2,3,3,3,3,3,No,Travel_Rarely,0
EMP-0161,Employee 161,38,Female,Research & Development,Healthcare Representative,Human Resources,9055.54,11,3,19,6,4,1,6,4,4,3,3,3,No,Travel_Rarely,0
EMP-0162,Employee 162,40,Male,Research & Development,Manager,Life Sciences,8493.65,5,2,0,0,0,0,0,3,2,3,1,3,No,Travel_Rarely,0
EMP-0163,Employee 163,36,Female,Human Resources,Human Resources,Life Sciences,6083.48,4,0,10,9,2,1,6,1,4,2,1,3,Yes,Travel_Rarely,1
EMP-0164,Employee 164,32,Female,Research & Development,Manufacturing Director,Marketing,9619.93,2,3,3,3,3,3,2,1,3,3,4,3,No,Travel_Frequently,0
EMP-0165,Employee 165,18,Male,Research & Development,Manager,Technical Degree,7693.64,4,1,0,0,0,0,0,1,3,3,2,3,No,Non-Travel,0
EMP-0166,Employee 166,24,Female,Sales,Sales Executive,Marketing,3022.14,12,1,0,0,0,0,0,2,1,4,2,4,No,Travel_Rarely,0
EMP-0167,Employee 167,42,Male,Sales,Manager,Human Resources,13129.99,1,3,18,5,5,5,1,3,2,3,3,3,Yes,Travel_Rarely,0
EMP-0168,Employee 168,32,Female,Sales,Sales Representative,Technical Degree,5867.32,13,2,7,7,6,5,7,2,3,3,2,3,Yes,Travel_Rarely,1
EMP-0169,Employee 169,46,Male,Sales,Sales Representative,Medical,8216.89,4,5,13,0,0,0,0,1,1,3,3,3,No,Travel_Rarely,1
EMP-0170,Employee 170,41,Female,Sales,Sales Representative,Other,4052.43,2,4,4,4,4,2,4,3,3,1,3,3,Yes,Travel_Rarely,0
EMP-0171,Employee 171,19,Male,Research & Development,Research Scientist,Other,2000.0,1,2,1,1,1,1,1,4,3,3,2,3,No,Travel_Frequently,0
EMP-0172,Employee 172,30,Female,Research & Development,Research Scientist,Life Sciences,4938.02,10,2,6,5,5,0,5,1,3,2,3,3,No,Travel_Rarely,0
EMP-0173,Employee 173,41,Male,Sales,Sales Executive,Marketing,9604.69,7,1,13,4,0,4,4,1,3,3,2,3,Yes,Non-Travel,0
EMP-0174,Employee 174,31,Male,Research & Development,Manager,Other,13799.04,30,7,13,12,0,2,7,3,2,3,3,3,No,Travel_Frequently,1
EMP-0175,Employee 175,20,Female,Research & Development,Research Scientist,Technical Degree,4713.34,5,1,2,2,2,1,2,3,4,2,2,3,No,Travel_Rarely,0
